topology,D_m,L_m,spacing_D,H_kN,cycles,soil_k,eta_g,u_fem_anchor_mm,u_stress_mm,utilization,feasible,Vc_m3,Lt_m,Ac_m2,C_raw,C_norm,selected_candidate,candidate_id
2x2,0.60,8.0,2.5,100.0,100000,15648.900359,,4.829,25.813803,0.860460,yes,9.047787,32.000000,4.410000,12116.223737,12.116224,yes,2x2_D0.60_L8_s2.5D
2x2,0.60,8.0,3.0,100.0,100000,15648.900359,,4.829,23.426699,0.780890,yes,9.047787,32.000000,5.760000,12244.473737,12.244474,no,2x2_D0.60_L8_s3.0D
2x2,0.60,8.0,3.5,100.0,100000,15648.900359,,4.829,21.872089,0.729070,yes,9.047787,32.000000,7.290000,12389.823737,12.389824,no,2x2_D0.60_L8_s3.5D
2x2,0.60,8.0,4.0,100.0,100000,15648.900359,,4.829,20.810620,0.693687,yes,9.047787,32.000000,9.000000,12552.273737,12.552274,no,2x2_D0.60_L8_s4.0D
2x2,0.60,8.0,4.5,100.0,100000,15648.900359,,4.829,20.062263,0.668742,yes,9.047787,32.000000,10.890000,12731.823737,12.731824,no,2x2_D0.60_L8_s4.5D
2x2,0.60,10.0,2.5,100.0,100000,17370.730231,,4.829,23.869939,0.795665,yes,11.309734,40.000000,4.410000,15040.542171,15.040542,no,2x2_D0.60_L10_s2.5D
2x2,0.60,10.0,3.0,100.0,100000,17370.730231,,4.829,21.662592,0.722086,yes,11.309734,40.000000,5.760000,15168.792171,15.168792,no,2x2_D0.60_L10_s3.0D
2x2,0.60,10.0,3.5,100.0,100000,17370.730231,,4.829,20.225049,0.674168,yes,11.309734,40.000000,7.290000,15314.142171,15.314142,no,2x2_D0.60_L10_s3.5D
2x2,0.60,10.0,4.0,100.0,100000,17370.730231,,4.829,19.243512,0.641450,yes,11.309734,40.000000,9.000000,15476.592171,15.476592,no,2x2_D0.60_L10_s4.0D
2x2,0.60,10.0,4.5,100.0,100000,17370.730231,,4.829,18.551508,0.618384,yes,11.309734,40.000000,10.890000,15656.142171,15.656142,no,2x2_D0.60_L10_s4.5D
2x2,0.60,12.0,2.5,100.0,100000,19199.698429,,4.829,22.143387,0.738113,yes,13.571680,48.000000,4.410000,17964.860606,17.964861,no,2x2_D0.60_L12_s2.5D
2x2,0.60,12.0,3.0,100.0,100000,19199.698429,,4.829,20.095701,0.669857,yes,13.571680,48.000000,5.760000,18093.110606,18.093111,no,2x2_D0.60_L12_s3.0D
2x2,0.60,12.0,3.5,100.0,100000,19199.698429,,4.829,18.762138,0.625405,yes,13.571680,48.000000,7.290000,18238.460606,18.238461,no,2x2_D0.60_L12_s3.5D
2x2,0.60,12.0,4.0,100.0,100000,19199.698429,,4.829,17.851597,0.595053,yes,13.571680,48.000000,9.000000,18400.910606,18.400911,no,2x2_D0.60_L12_s4.0D
2x2,0.60,12.0,4.5,100.0,100000,19199.698429,,4.829,17.209647,0.573655,yes,13.571680,48.000000,10.890000,18580.460606,18.580461,no,2x2_D0.60_L12_s4.5D
